Sequences,Variant,Num input points,bpp,Bitstream,PSNR,PSNR-Cb,PSNR-Cr
house_without_roof_00057_vox12,r01,4848745,0.0135045254,65480,26.0509,38.0375,40.563
house_without_roof_00057_vox12,r02,4848745,0.0349203763,169320,27.4859,38.9513,41.0731
house_without_roof_00057_vox12,r03,4848745,0.1135881553,550760,29.6505,40.0827,41.7881
house_without_roof_00057_vox12,r04,4848745,0.3329702841,1614488,32.6909,41.3613,42.6319
house_without_roof_00057_vox12,r05,4848745,0.8016457867,3886976,36.7703,43.1319,43.9921
house_without_roof_00057_vox12,r06,4848745,1.561662657,7572104,40.917,45.2582,45.8777
