Sequences,Variant,Num input points,bpp,Bitstream,PSNR,PSNR-Cb,PSNR-Cr
house_without_roof_00057_vox12,r01,4848745,0.0350061717,169736,27.255,37.7976,41.4287
house_without_roof_00057_vox12,r02,4848745,0.0836406122,405552,28.9008,39.9605,41.9792
house_without_roof_00057_vox12,r03,4848745,0.2229987347,1081264,31.0506,41.1282,42.6758
house_without_roof_00057_vox12,r04,4848745,0.5413557529,2624896,34.1129,42.5536,43.7337
house_without_roof_00057_vox12,r05,4848745,1.1324992343,5491200,38.0473,44.3481,45.2075
house_without_roof_00057_vox12,r06,4848745,2.1280046692,10318152,42.4314,46.5919,47.198
